tag	treeid	stemtag	spcode	quadrat	gx	gy	dbh	codes	hom	date
3410	1126	1	shagbark hickory	A	53.6	195.7	16	M	1.3	2014-06-23
3409	1127	1	black oak	A	54.5	197.5	44.7	M	1.3	2014-06-23
241	1128	1	shagbark hickory	A	59.6	195.4	11.8	M	1.3	2014-06-23
5066	27475	1	black oak	A	62.9	196.3	55.1	M	1.3	2014-06-23
3404	1132	1	shagbark hickory	A	67.6	198	10.5	M	1.3	2014-06-23
3403	1133	1	red maple	A	70.1	195.3	28.6	M	1.3	2014-06-23
5080	1135	1	black oak	A	74.5	199.7	65.4	M	1.3	2014-06-23
3199	1136	1	black cherry	A	75.4	197.8	4.8	M	1.3	2014-06-23
240	1137	1	sassafras	A	76.5	197.5	19.6	M	1.3	2014-06-23
3197	1138	1	shagbark hickory	A	78.2	196.1	12.5	M	1.3	2014-06-23
3196	1139	1	red maple	A	84.5	198	20.2	M	1.3	2014-06-23
3195	1140	1	sassafras	A	87.2	197.1	11.3	M	1.3	2014-06-23
3194	1141	1	black cherry	A	92.5	197	7.4	M	1.3	2014-06-23
3191	1142	1	serviceberry	A	93.8	198	6	M	1.3	2014-06-23
3192	1143	1	white oak	A	94.4	197.3	17.6	M	1.3	2014-06-23
3193	1144	1	black oak	A	94.4	195.5	53.8	M	1.3	2014-06-23
3189	1145	1	american beech	A	95.9	195.8	6.2	M	1.3	2014-06-23
3190	1146	1	black cherry	A	95.9	199.8	11.7	M	1.3	2014-06-23
3188	1147	1	red maple	A	98.7	196.6	4.9	M	1.3	2014-06-23
3187	1148	1	flowering dogwood	A	99.2	198.7	NA	S;D	1.3	2014-06-23
3186	1149	1	flowering dogwood	A	99.5	197.7	NA	S;D	1.3	2014-06-23
3131	1150	1	american elm	A	3.6	192	11.7	M	1.3	2014-06-23
17021	27476	1	serviceberry	A	5.4	190.7	2.6	M	1.3	2014-06-23
3133	1151	1	black cherry	A	6.5	193.7	6.4	M	1.3	2014-06-23
17020	27477	1	autumn olive	A	7	189.6	2	M	1.3	2014-06-23
267	1152	1	black oak	A	7.3	190.8	45.9	M	1.3	2014-06-23
268	15005	1	serviceberry	A	7.7	190.7	3.8	M	1.3	2014-06-23
269	1153	1	serviceberry	A	8.7	193.5	4.3	M	1.3	2014-06-23
3135	1154	1	black cherry	A	10.7	194.3	14.9	M	1.3	2014-06-23
17019	27478	1	black cherry	A	11.7	191.2	2.9	M	1.3	2014-06-23
3136	1155	1	serviceberry	A	13.5	192.6	7.3	M	1.3	2014-06-23
3137	1156	1	black cherry	A	13.7	192	9.6	M	1.3	2014-06-23
17018	27479	1	serviceberry	A	13.8	193.7	3.2	M	1.3	2014-06-23
17018	27479	2	serviceberry	A	13.8	193.7	1		1.3	2014-06-23
17017	27480	1	serviceberry	A	14.1	194	3.3	M	1.3	2014-06-23
3138	1157	1	black cherry	A	14.2	191	11.3	M	1.3	2014-06-23
3253	1158	1	black cherry	A	14.5	193.6	5.7	M	1.3	2014-06-23
17016	27481	1	serviceberry	A	14.9	192.5	2.1	M	1.3	2014-06-23
